rmcase,type,adult,month,whtdy,wchma,nmcrb
1181,2,1,3,20,8,1
1181,2,1,3,26,8,2
1182,2,1,3,25,5,4
1182,2,1,3,26,5,4
1183,2,1,3,25,7,5
1183,2,1,3,26,7,5
1184,2,1,3,25,4,2
1184,2,1,3,27,4,2
1185,2,1,2,10,7,1
1185,2,1,2,21,7,2
1185,2,1,3,25,7,5
1186,2,1,3,25,4,10
1187,2,1,3,24,4,5
1187,2,1,3,25,4,4
1188,2,1,2,13,4,1
1188,2,1,2,23,4,2
1188,2,1,2,24,4,3
1189,2,1,3,24,4,3
1189,2,1,3,26,4,4
1189,2,1,4,2,4,5
1189,2,1,4,4,4,5
1190,2,1,3,24,7,2
1191,2,1,3,20,5,5
1191,2,1,3,21,5,5
1191,2,1,3,24,5,5
1192,2,1,3,20,5,5
1192,2,1,3,21,5,5
1192,2,1,3,24,5,5
1193,2,1,2,22,4,1
1193,2,1,2,23,4,2
1193,2,1,3,15,4,3
1193,2,1,3,24,4,5
